kind,legacy_name,openmu_or_plugin,parity_status,notes
LEGACY_PROC,WZ_CONNECT_MEMB,Connect + Login EF,in_progress,Takumi join path; không giữ ODBC EXEC — parity ConnectServer OpenMU.
LEGACY_PROC,WZ_CS_GetAllGuildMarkRegInfo,Guild / siege,deferred,Nhóm WZ_CS_* castle siege — đối chiếu persistence OpenMU
LEGACY_PROC,WZ_CS_GetCalcRegGuildList,Guild / siege,deferred,Takumi siege procs; đối chiếu persistence guild OpenMU / plugin.
LEGACY_PROC,WZ_CS_GetCastleNpcInfo,Guild / siege,deferred,Takumi siege procs; đối chiếu persistence guild OpenMU / plugin.
LEGACY_PROC,WZ_CS_GetCastleTaxInfo,Guild / siege,deferred,Takumi siege procs; đối chiếu persistence guild OpenMU / plugin.
LEGACY_PROC,WZ_CS_GetCastleTotalInfo,Guild / siege,deferred,Takumi siege procs; đối chiếu persistence guild OpenMU / plugin.
LEGACY_PROC,WZ_CS_GetCsGuildUnionInfo,Guild / siege,deferred,Takumi siege procs; đối chiếu persistence guild OpenMU / plugin.
LEGACY_PROC,WZ_CS_GetGuildMarkRegInfo,Guild / siege,deferred,Takumi siege procs; đối chiếu persistence guild OpenMU / plugin.
LEGACY_PROC,WZ_CS_GetOwnerGuildMaster,Guild / siege,deferred,Takumi siege procs; đối chiếu persistence guild OpenMU / plugin.
LEGACY_PROC,WZ_CS_GetSiegeGuildInfo,Guild / siege,deferred,Takumi siege procs; đối chiếu persistence guild OpenMU / plugin.
LEGACY_PROC,WZ_CS_ModifyCastleOwnerInfo,Guild / siege,deferred,Takumi siege procs; đối chiếu persistence guild OpenMU / plugin.
LEGACY_PROC,WZ_CS_ModifyCastleSchedule,Guild / siege,deferred,Takumi siege procs; đối chiếu persistence guild OpenMU / plugin.
LEGACY_PROC,WZ_CS_ModifyGuildGiveUp,Guild / siege,deferred,Takumi siege procs; đối chiếu persistence guild OpenMU / plugin.
