kind,legacy_name,openmu_or_plugin,parity_status,notes
TABLE,AccountCharacter,,todo,dbo.AccountCharacter — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table AccountCharacter
TABLE,CashLog,,todo,dbo.CashLog — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table CashLog
TABLE,CashShopData,,todo,dbo.CashShopData — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table CashShopData
TABLE,CashShopInventory,,todo,dbo.CashShopInventory — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table CashShopInventory
TABLE,CashShopPeriodicItem,,todo,dbo.CashShopPeriodicItem — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table CashShopPeriodicItem
TABLE,Character,,todo,dbo.Character — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table Character
TABLE,CustomAttack,,todo,dbo.CustomAttack — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table CustomAttack
TABLE,CustomGift,,todo,dbo.CustomGift — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table CustomGift
TABLE,CustomItemBank,,todo,dbo.CustomItemBank — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table CustomItemBank
TABLE,CustomJewelBank,,todo,dbo.CustomJewelBank — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table CustomJewelBank
TABLE,CustomNpcQuest,,todo,dbo.CustomNpcQuest — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table CustomNpcQuest
TABLE,CustomQuest,,todo,dbo.CustomQuest — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table CustomQuest
TABLE,DataNapGame,,todo,dbo.DataNapGame — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table DataNapGame
TABLE,DefaultClassType,,todo,dbo.DefaultClassType — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table DefaultClassType
TABLE,EquipInventory,,todo,dbo.EquipInventory — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table EquipInventory
TABLE,EventLeoTheHelper,,todo,dbo.EventLeoTheHelper — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table EventLeoTheHelper
TABLE,EventSantaClaus,,todo,dbo.EventSantaClaus — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table EventSantaClaus
TABLE,ExtWarehouse,,todo,dbo.ExtWarehouse — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table ExtWarehouse
TABLE,GameServerInfo,,todo,dbo.GameServerInfo — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table GameServerInfo
TABLE,Gens_Duprian,,todo,dbo.Gens_Duprian — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table Gens_Duprian
TABLE,Gens_Rank,,todo,dbo.Gens_Rank — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table Gens_Rank
TABLE,Gens_Reward,,todo,dbo.Gens_Reward — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table Gens_Reward
TABLE,Gens_Varnert,,todo,dbo.Gens_Varnert — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table Gens_Varnert
TABLE,Guild,,todo,dbo.Guild — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table Guild
